ID, Nome, Preco, Minimo de noites
78,Chaplin Stylish Bungalow in Weho,239,1
79,Cozy room in Canyon Country,134,1
80,Family Home w/pool table. Near DT Long Beach,169,1
81,Cozy Cabin,64,2
82,Ocean,90,31
83,Silver Lake Private Room & Bath,60,30
84,Elevation / Mar Vista - A Joyful Family Retreat,375,30
85,Chill Hollywood Studio,69,30
86,Bright Luxurious Condo accessing Beverly Hills,175,181
87,Big window view room 5,61,1
88,Cozy Private Bedroom Upstairs,40,1
89,Private Master Bedroom Venice Beach,112,1
90,Private Studio,88,30
91,King Accessible Roll in Shower,106,1
92,Luxury Hills Retreat | Infinity Pool & City Views,1800,2
93,The Steel Estate- Hollywood Hills,1299,30
94,Queen Bed Hotel Style Suite,150,1
95,West Hollywood Gated 2Bed/2bath,375,365
96,1 Bd/1Bth in heart of Hollywood,70,30
97,Exclusive Monthly Rates | West Hollywood Paradise,1197,31
98,Luxury Townhouse Oasis in West Hollywood,319,2
99,Luxurious modern 5 townhouse in West Hollywood,340,31
100,Stunning entire home w garden. Walk to The Grove!,150,15
101,Entire apartment - 15 mins to ocean,109,30
102,Love Shack,61,35
103,Clean Comfortable Cottage,136,30
104,Amazing Gataway In Los Angeles,594,3
105,Hollywwod Gataway,479,3
106,Sierra Sunset - Prime Beverly Hills Estate!,2320,3
107,Lovely 1 Bedroom Condo with Rooftop Pool,110,30
108,Beach Bungalow w private patio!,155,31
109,The Exquisite Venice Beach Bungalow with Garden,354,30
110,Cozy One Bedroom Near Santa Monica Downtown,105,30
111,Perfect 2 BD Apartment in WeHo,117,30
112,The Redline,280,30
113,Cozy home with pool,360,30
114,Poolhouse nxt 2 Universal studio+WB Disney studio.,1999,7
115,Stay in The Heart of Hollywood,54,31
116,Cozy Home by the Beach.,113,30
117,Beverly Hills Patio Perfection: Near K-Town,218,1
118,Bright Updated Venice Beach House,196,31
119,Adorable one-bedroom ocean view Malibu apartment,201,1
120,Cheerful color bedroom,302,1
121,Private room for people #16,30,30
122,Queens rd house West Hollywood,950,30
123,Swing by Graze for dinner or craft beers,172,1
124,Exquisite Venice Eco / Zen Home,500,30
125,Chic & Cozy Studio for Two in LA,67,2
126,Boho-Chic bungalow.,235,30
127,Spacious private studio,500,1
128,Central Stylish 2 Bed | 2 Bath Apartment,273,1
129,Modern room in Whittier,55,1
130,Cozy room with private bathroom,60,30
131,Modern Home with a Stunning View near Disneyland,341,2
132,Traditional Midcentury Vibe Renovated,250,2
133,3Bed/2Bath Westside Modern Oasis,175,31
134,Student or Intern housing located across from UCLA,26,31
135,Charming Room near JPL(3 months stay),55,2
136,Updated & cozy home near airport & main fwys,175,7
137,Mod2bd2ba ShowstoprViews. BBQ. Garage.,299,3
138,Magical Laurel Canyon oasis,407,2
139,Ideal spot near Sunset Blvd,119,30
140,Dream cozy relaxing Place,103,1
141,Modern Home w/Pool + Outdoor -Downtown Los Angeles,265,2
142,The Peninsula- Bayside,195,2
143,Terranea Luxury Villa with Amazing Ocean Views,1700,2
144,Ladera heights vibes with balcony,111,31
145,Upper Floor Multi-Room Suite #20304,175,1
146,Huge Home near LA & OC,599,1
147,Serene Foothill Room - Altadena,90,1
148,Centrally located 2b/2ba Bungalow,270,31
149,Trendy 2 bed 2 bath apartment in perfect location,255,30
150,The Zen Room,98,30
151,Casa Bonita: Santa Monica Lux Hot Tub Backyard,1125,31
152,Elegant Craftsman Home,279,1
153,Modern Studio in Korea Town,127,1
154,Ocean view PH 1bd parking,173,1
155,Historic Hollywood apartment!,94,30
156,Spacious 4-Bedroom Retreat w/UniversalStudios View,578,3
157,2BD 2BATH in DTLA! Walk to Everything !,234,2
158,Quiet and Cozy extended stay,56,14
159,Sweet Home,280,1
160,Sea Ray 280 motor yacht,239,1
161,Modern Guesthouse - Heart of LA,119,30
162,Shabby Chic Retreat,102,30
163,Sunny & Spacious 2Bed 2Bath Apt,300,30
164,King Size Bed Private Studio,160,1
165,Bright & Charming Studio Great West side location,76,30
166,Mountain View (3 bedroom back house) DisneyLand,158,2
167,Hollywood Hills Penthouse,159,30
168,Charming 2BR Apartment in Venice,220,30
169,Very Spacious Private Unit (M),220,1
170,2 bedrooms on a private second floor,149,30
171,Great West L.A. location near much,129,30
172,Sunset Oasis,132,30
173,COZY MODERN APT #2,100,30
174,Entire pad 13 miles from SoFi! One bdr by Runyon!,650,30
175,Amazing fully remodeled townhouse Pico/Robertson,220,30
176,4 Person Private Bedroom in Venice Coliving House,175,30
177,Lovely 3 Bedroom Beverly Hills Home,340,3
178,Luxurious 4-Bedroom Beach House,3000,1
179,Lovely Monaco 1,41,1
180,Lovely 2 Bedroom 2 Bathroom Apartment with Pool,285,30
181,Studio on rose ave by the beach,80,30
182,Paradise by the ocean 2,375,30
183,Deluxe Townhome w/ Hollywood Sunset Views,462,1
184,Room 5,56,5
185,Private 1 Bath & 1 Badroom,59,3
186,Zen by the Sea,212,3
187,Private furnished Burbank room great housemates!,45,90
188,Aesthetically Beautiful,123,30
189,Charming Mar Vista Bungalow with Garden Oasis,250,30
190,Private Room+Bath in Quiet VeniceContemporary Home,75,30
191,Private 1 2 Room in Great Location Near Rodeo DR,450,1
192,Simple 2 bedrooms in an amazing location / Melrose,198,30
193,Lovely and cozy Bedroom with private bathroom,100,1
194,Serene 1-bedroom guesthouse. Venice walk street.,180,30
195,Luxury Penthouse apt with amazing Skyline View,104,30
196,Beautiful Santa Monica Condo,169,30
197,3 bedrooms town house on Pico and Robertson,217,30
198,Beautiful Hollywood loft,175,30
199,Gated Private Mount Olympus Villa | Pool & Spa,788,2
200,Charming 2BR/2BA Near Downtown,143,30
201,Santa Monica 7th st 2 bedroom,150,30
202,Lovely Queen Studio in Prime Location,150,1
203,Private Unit in Beverly Hills,150,1
204,Hollywood Hills Cozy Loft,234,30
205,West Hollywood Home,420,30
206,Mid-Century Gem LGB 2 Bed/1 Ba ~Pool,156,2
207,Cheerful two bedroom Vacation Home with great view,443,30
208,Renovated 2BR w/ Private high-speed Wifi,272,7
209,Ocean View 3 bedroom. Manhattan Beach. Parking,546,1
210,Small Bedroom W/T Single Bed,35,1
211,Modern Hercules,3500,30
212,Room 8,36,1
213,Glamorous West Hollywood Gem,518,1
214,Level South Olive - Delightful 1BD Suite in DTLA,210,30
215,Culver/Century Private Bedroom,74,30
216,Residential Townhome in Hollywood Neighborhood,239,3
217,Master bedroom with attached bathroom,83,1
218,Cozy Studio in Santa Monica - 5 min to the Beach,161,1
219,Neat and Stylish 1B in a 5B5B in USC Rm 5,36,30
220,Gorgeous Private Guesthouse in the Heart of West Hollywood,250,30
221,A beautiful stay (Guesthouse).. Detached,122,30
222,Secluded Contemporary Bungalow in the Heart of Hollywood,169,30
223,LUXURY VILLA HOLLYWOOD 4BED+5BATH,3500,30
224,Brand New 2 bedrooms Apartment,259,1
225,Amazing new apartment in central location parking,124,30
226,Cozy Rooms Located Heart OF LA,56,30
227,Poolhouse Bungalow,59,30
228,beautiful townhouse w.hollywood,400,30
229,Beautiful 3-Bedroom Villa in Prime Location,480,185
230,Great house in the middle of LA,400,30
231,Orange house- 2 BR 1BA,170,30
232,Sandcastle Cottage,405,2
233,The Bagley #111,90,30
234,Modern City Ranch Family Home Access by Dirt Road,193,2
235,Modern house in Venice ; 3 bd/ 3 bath/ hot tub!,557,1
236,Granada Hills Suite With View,130,2
237,Private room in El Monte.  Unit 302,37,2
238,Serene getaway Glory Flat,124,1
239,Estudio en renta,100,1
240,Arcadia Serene 4B2B Home private yard Disneyland,201,1
241,Beautiful modern quiet retreat,650,2
242,Cozy West Hollywood Casita,179,1
243,Private Room in West Hollywood,70,60
244,CE. Koreatown LA private Room,53,1
245,Homey 1-Bedroom Cottage,165,1
246,Sunny Comfy 3BR/2BA King Bed Home Near LA's Best,234,2
247,San Gabriel Business Center Mini Single House,79,2
248,Private Victorian room  steam sauna in the Mansion,185,30
249,Ultra Modern Private Oasis w/pool basketball court,2200,30
250,New unit 2B2B free parking Relax,173,1
251,New Modern and Spacious Pool Home,954,30
252,Los Angeles / Highland Park Guest House,90,30
253,Cozy 2bd Apt. Pool Spa Gym.,4000,30
254,4/3 | Pool | Col-de-sac,466,30
255,Resort Like & Captivating Views,420,30
256,Ocean Front Beach house,1100,3
257,Modern Stylish Home 8Beds | Walk to DT Alhambra,269,1
258,Cute Colonial Quiet Apartment,73,30
259,The Aria - Month to Month,99,31
260,Adorable 1 bedroom pivate unit,105,1
261,Magnificent View House,325,2
262,COZY VIBES Los Angeles Home,160,2
263,A little space to relax,91,1
264,Pink Private Haven in Pasadena- Rose Bowl Adjacent,99,1
265,Cozy 1B in a 6B6B near USC and Ktown - Rm 6,41,30
266,Private entire 2 bedrooms 2bathrooms apartment11,148,128
267,NEW Beautiful Tranquil Retreat: 2BEDS/1Bath!,189,30
268,Contemporary charming 3 bedroom place,150,31
269,Duarte Casita,90,1
270,Casa Hermosa Bright Cozy Two Bedroom House,158,31
271,Medina Ct,159,2
272,Private rooms in Ktown,50,30
273,Stay with a smile !,146,30
274,Private Casita with loft kitchen bathroom yard,99,30
275,Topanga Cabin,138,2
276,Promenade 163,71,31
277,Beautiful Centrally-Located Home,217,20
278,Redondo Beach Paradise - Bedroom #1,111,1
279,Magical Beach Palace,89,30
280,Luxury Oasis Home w/Pool Near CSUN-7 Guests,199,2
281,Happy private room shared bath,61,1
282,Southbay Neighborhood Resort (Large Swim Spa),450,3
283,Downtown Great Apartment,220,30
284,Modern Farmhouse Fully Equipped,210,30
285,Paradise Cove View Guest house,125,31
286,5BRM Modern Melrose Luxury,1400,30
287,The Temple,176,1
288,Malibu Beachfront Dream,3371,2
289,Authentic Hollywood Studio with Prime Location,80,30
290,Historic 4B2B House - Cozy Home-RV Parking,173,4
291,Cozy 1B in a 7B6B near USC and Ktown - Rm 3,32,30
292,Cozy 1 bedroom 1 bath unit.,78,30
293,LA Hillside Dream-Amazing Views-Hot Tub-Tsla Chrgr,315,3
294,Stylish 3 Bed Home - Perfect for Temporary Housing,140,30
295,Anza bar morphs from AM coffee shop to PM wine bar,180,1
296,NEW Valley Gem One,55,30
297,Buffalo Bill - Studio Apartment,50,30
298,Modern Comfort: Oasis Near Universal Studios,56,30
299,9910 - Spanish style 1 bedroom in Beverly Hills,105,31
300,Los Angeles Apartment for rent,179,30
301,Well house in the topanga!,105,2
302,1925 Cabin: The Sweetest Spot in Topanga,254,2
303,DQ.A7 - Affordable Private Room USC/Downtown LA,30,30
304,Spectacular oceanfront chateau,1257,7
305,Private Room Silver Lake/ Los Feliz,60,30
306,3 miles from Downtown/3 Beverly Hills,226,30
307,Private Bedroom in DTLA 1314,42,30
308,5. Beautiful Room in Central LA,29,31
309,SA Beach #8 by Stay Awhile Villas,325,30
310,Beachfront Gem Spanish Villa Stunning Ocean Views,1061,2
311,Big safe and quiet private room,97,1
312,A furnished room for You in a quite home.,39,31
313,Gated 2BDS 1BA Casita w/Pool,250,30
314,Quiet queen bed private room in safe neighborhood,75,2
315,Escape to Boho Dreamland in LA,175,2
316,Garden Retreat.,111,3
317,Bright and Private Modern Room with City View!,106,1
318,Education House Near Mt. Sac College (Walnut),115,7
319,Central Homeaway 1BR + 1BA Apt-,120,30
320,Perfect 1bed 1bath 5mins to the beach shops & food,179,31
321,Rm2 South Bay 17mls LAX beach home ideal long stay,69,30
322,Malibu 3 Bedroom Beach House,900,3
323,Amazing location 2 minutes to all the hot spots!!!,148,30
324,Newly Built / 1 bed room W PRIVATE BATHROOM,76,30
325,21 Guest house: 2BR 1 Bath spacious fast Wi-Fi,110,2
326,4 Bedroom Pool Home Sand Canyon,394,30
327,3BD house 10min from LAX,261,1
328,Large 1 BR Guesthouse With View,99,7
329,Private Bedroom Private Bathroom,43,25
330,Sweeping Views Hollywood Hills to Downtown!,426,30
331,Downtown LA- Luxe High - Rise W/ Office,325,1
332,3Bedroom 4 Beds Single House close to Pasadena,190,2
333,Beverly Hills Private Estate,660,30
334,Beach Lover's Retreat: Pier Canals Nearby & Fun,145,30
335,Cheerful 1 bedroom with flowery front garden,81,1
336,2Bedroom Designer Condo with Gym,264,49
337,Hotel Style 2BD2BT Parking & Gym,187,3
338,Los Angeles,165,30
339,Ranch style Quiet & safe  Neighborhood king-bed! 1,143,1
340,4 Bed/3 Bath with POOL in the Heart of Hollywood!,459,2
341,Beautiful House on the hills 1,65,7
342,Long Beach Comfy Coastal Cove 1 Mile to Beach,190,3
343,Your Condo Away From Home!,96,31
344,Beautiful Modern Cozy theater Tesla charger.,294,5
345,Seaside Elegant 2 Bedroom 2 Bath | Private Garage,169,2
346,Centrally Located Bright & Spacious Bohemian Home,215,31
347,Beautiful Home Pasadena area Great Location,290,3
348,H882: Beautiful Townhouse Luxury Villa + WIFI + 2,239,1
349,The Heart of Belmont Shore,295,3
350,Large Private Room in San Pedro,200,1
351,Brand New Spacious 3bedroom/2bath Free parking,152,1
352,Sanitized Fully Upgraded Quiet Home in Long Beach,163,31
353,Cozy Bedroom for Two,46,1
354,NB- private room shared bath,43,10
355,Greenleaf Hotel's Deluxe Getaway 3,109,1
356,Private Room w Private Bathroom,63,30
357,Serenity Oasis in Heart of LA,180,1
358,Cozy Guest House,121,1
359,New! Redondo Beach Ocean View Walk to Beach!,162,31
360,comfy house,104,30
361,New home private bath entrance,81,1
362,Cheerful 3-bedroom home with ocean breezes,155,30
363,Newly renovated 2 BR 1 bath XL master suite,100,31
364,Private Bed/Bath with Ocean View,89,31
365,House on the Hill,627,2
366,Contemporary home in Lancaster,145,1
367,Brand new remodeled home,200,30
368,Westwood Oasis: Home + ADU,322,30
369,Historic Romantic Hillside Villa,2642,2
370,1 Bedroom 1 bath Motel Room,95,1
371,Brand New Pasadena 3-Bedroom Home by the Rose Bowl,5475,2
372,Big cozy room,80,1
373,Cozy and Modern,200,2
374,Private Suite with Living Room/Kitchen,110,10
375,2149 West covina warm 3 rooms,154,1
376,AVAILABLE FOR LONG TERM: Room w/ Private Bath,62,30
377,Relaxing and Comfortable Home 2Bed 1 Bath,124,1
378,West Ocean Highrise,116,60
379,quiet and peaceful room 2 free parking,50,1
380,Chic Hollywood Hideaway,215,30
381,Venice Beach Spanish Style 2 Bed,165,30
382,Peaceful La Crescenta Home,343,1
383,Luxury Malibu Farmhouse over Zuma Beach,370,1
384,164 Colorful Happy Home -Pool &Spa,299,2
385,Duplex Unit One Block to the Bay or Ocean,275,3
386,Huge garage convert private room,62,1
387,A Gem In Safe Stay,169,1
388,Nice Clean Room,90,1
389,Luxurious 1 Bedroom With Shared Bath Near USC,49,30
390,Comfy CaliKing Crash Pad,111,1
391,Cozy 1 BR/BA w/ Outdoor Patio- 5 Stars Rating-SG Valley,87,1
392,3 Bedroom 3 Bath 3 car garage,96,1
393,Luxury 3 Bedroom Townhouse,175,180
394,Cozy and Spacious Duplex,180,1
395,Amazing WeHo furnished1 bedroom,100,30
396,Family Area Private Safe Bedroom,40,25
397,CA#2 Close Long Beach & PV newly remodeled studio,100,3
398,Small bedroom in LA,48,1
399,Remodeled Room,80,1
400,Coastal Retreat: Cozy Bungalow,126,2
401,Cheerful 3 bedroom residence w free large parking,166,30
402,BEVERLY HILLS VILLA W/ THEATRE POOL 6 BEDROOM,1000,30
403,Home in a safe and quiet area.,110,1
404,Cozy 3 bedroom San Fernando,178,3
405,Blessed Haven with Sun Deck,130,31
406,Home Close to Six Flages.,150,31
407,Large Hilltop Home with Spectacular Views,175,2
408,West Covina Stay 10 fwy/cirtrus,134,2
409,Hummingbird nest.,78,2
410,Cheerful 1 Bed RM House w/ Full Kitchen & New Bath,81,2
411,GOODE.HOMES | Luxury Home w/ Beautiful Garden,253,2
412,2B1B/Near LA Downtown/Security Gate/CNTRL location,152,2
413,Nice room with private bathroom,57,3
414,2Casa Cali - 2BR 1B - Sleeps 10 - 70 & 60 TVs,92,1
415,Student/Travel Healthcare Housing 30daymin,250,30
416,Modern 1 Bedroom W Private Bath,44,30
417,DTLA House by BMO Stadium 2/2 + W/D + Parking,120,30
418,Brand New Construction | Master Suite  E#42183,217,29
419,Pleasant Room w/Private Entrance,48,30
420,Aquarium of Pacific in 5 min Sleeps 6 Two Bedrooms,124,1
421,Beautiful gateway near the Ocean,190,3
422,Charming SoCal Apartment,142,14
423,King bed room 3 free parking,60,1
424,Bright Fresh Cottage...Walk to Bay & 2nd Street!,148,3
425,158 Magic mountain home with epic views,599,3
426,Have fun with it!,53,1
427,Quaint Craftsman near Beach and Downtown,186,1
428,Recently updated 3 bed/2 bath centrally located!,234,2
429,Long Beach Urban Oasis,189,1
430,New quiet & cosy studio cabin/Private Entrance,65,14
431,Safe Clean - Private Bedroom LA With Smart TV,42,30
432,Promenade st 1 bd free parking,144,1
433,Beautiful private mountain estate on 10 acres,900,2
434,Santa Monica One BedRoom Apt. (Occean Breeze 2),113,30
435,Valencia CA Stunning 3100+sqft 5 Bed/5Bath home,495,2
436,HillsideGem! Skyline Views of LA,181,2
437,Cozy Palmdale Home,275,1
438,Clean | Cute | Chic | Cozy | Private Getaway Unit,85,30
439,Scandinavian Tiny Home in Malibu,264,30
440,Triple Cozy Bunk Bed Retreat,50,30
441,Beautiful house for 4 | West Palmdale,110,6
442,Cheerful room 1 -  with daybed big and quiet room,54,1
443,Welcome to your home,73,1
444,Venice Canal Villa-4beds3 baths,2800,31
445,attractive Double Bed Suite,150,1
446,C03 Double queen beds with view,106,2
447,Stunning Spanish Villa/Duplex in Hollywood Hills,287,1
448,Cozy space in LA 4,68,1
449,The Nook: Pool Jacuzzi Gym,368,1
450,Luxury Downtown LA Condo w/ Expansive Views,135,31
451,Stunning SoCal Gem,140,28
452,Casa Vallado,208,2
453,Where you want to be,600,30
454,King Private Studio Apt,160,1
455,Cozy Private Unit in LA,120,1
456,Lovely Beverly Hills Room,150,1
457,2 Blocks to Sand: Venice Cottage & Lush Backyard,256,3
458,One Bedroom apartment with VIEW,222,1
459,Lux Heated Pool&Spa Getaway near Disney,255,2
460,Culver west gem,508,1
461,Great Location Double Bed,120,1
462,Spacious Apt in LA on 4th Floor,247,1
463,Cozy Retreat near Retro Row - 2840 E 6th St Unit 1,103,2
464,Iconic Ocean Ave 2BD/2BA Ultra Luxurious,250,31
465,74th Street Private Bedroom 4 + pet ok,31,30
466,Cozy Knight,67,1
467,Venice Beach Bungelow Craftsman on Walk St+ Garden,300,30
468,Cozy two bedroom home with free parking,104,1
469,Cozy cabin like gazebo,175,2
470,Darling vintage boho cottage,230,5
471,LUXURY bedroom in gorgeous home with private bath,102,31
472,Van Nuys Luxury,152,30
473,Unique and luxury guest house 4sleep,196,30
474,768/2 One bedroom with Queen size bed,49,31
475,Historic Hollywood Spanish Home,285,30
476,Luxury 1 Bedroom Unit-Walk to Beach -Baby Friendly,144,30
477,Spacious cozy studio in Arcadia,90,30
478,Cozy & Modern Casita Central to DTLA & Disneyland,109,1
479,A place to call home,45,32
480,Room #2 with 2 shared bathrooms,101,1
481,Stylish island escape just off the coast,408,1
482,Private bedroom at back house,59,2
483,Entire villa in Malibu_5-bedroom with Pool and Spa,696,2
484,Hilltop House: Golf cart Views BBQ Remodeled -,325,1
485,A hidden gem away from home.,160,30
486,22ppl Garage Btwn Disney& HollywoodMP Chinatown,433,2
487,Private Suite with Classic Bed,76,30
488,Big House at the Beach / Near Convention Center,679,4
489,Ever City Homes - Guest Suite Downey,115,1
490,Room 3,42,1
491,Top Floor 1BD/1BA w/ Gym Pool,100,31
492,Camp away Home A,100,1
493,Open Concept Loft | High Rise | Rooftop,145,30
494,Lovely French style private room in mansion,178,30
495,Spacious 2B2Ba located DTLA,204,30
496,Pasadena 3BR Retreat: Steps to Rose Bowl,264,1
497,Java Room with Modern Designs,33,31
498,Peaceful home with pool,606,3
499,Room in Musician's Apartment / Convenient Location,58,30
500,Dockside Boat & Bed Staycation,480,1
501,Steps to Two Beaches Private Suite in BelmontShore,91,3
502,Peaceful cozy studio in Arcadia,88,30
503,Bungalow Renovated Quite safe Neighbor King-bed! 2,139,1
504,Blueground | Pasadena pool nr colorado ave,248,31
505,Los Angeles Oasis,129,30
506,Charming Guesthouse in Rosemead,135,1
507,Lovely Private Bedroom,38,1
508,LA Home 15mins fr LAX (Airport),53,1
509,Resort Style - Bright Room,81,1
510,Spacious 5-BD Retreat w/ Huge Pool near Disneyland,501,2
511,Excellent area and very  safe,1400,1
512,La Canada Guest House 2 bedrooms,225,1
513,l6. DOWNTOwN LA Bed and Bath,62,1
514,6 Blks to Beach 1 bdr furnished,85,31
515,2B2B comfortable suite,159,3
516,Comfortable home,80,15
517,Hillside Farmhouse Pool Oasis near beaches,282,30
518,LA Luxury living that's close to it all!,200,30
519,2bedroom 2 bathroom,205,30
520,Seasun capsule hostel,24,30
521,Cozy master room with private bath in Pasadena,98,2
522,Northridge Palace - White,65,30
523,Private Room in Sherman Oaks,55,30
524,Lovingly Restored Bungalow,190,3
525,Executive Room w/300mbps Rooftop Pool & Jacuzzi,99,30
526,Unique Studio with King Bed,120,1
527,Bedroom in beautiful home near Universal Studios!,72,30
528,calm and clean place near LAX,70,3
529,In WEST LOS angeles,1750,90
530,Spacious 4BR/3B House btw Disneyland & Universal,226,2
531,Modern Private Room W/ Queen Bed,57,1
532,Luxury Corporate Housing.  Peaceful.  Quiet.  Safe,239,31
533,Family Friendly Home Near Los Angeles Attractions,350,30
534,#229 Arts District / Little Tokyo Private Room,48,2
535,Spacious near LAX SoFI w/ Parking,379,1
536,Calm & Comfy Suite w/Spa & Patio Access - LAX/SoFi,107,2
537,Sofi 10min LAX Beaches - JoY,107,1
538,Your Next Traveling Sweet Home,250,1
539,Minimalist Retreat in Echo Park,320,30
540,Hollywood room3 near Universal.,62,1
541,spacious room with private room.,98,1
542,Lovely bedroom in condo adjacent to Pasadena.,101,30
543,Lovely 1 Bedroom,96,30
544,Stone Manor,3400,4
545,New small house,120,30
546,Airstream Nature Retreat,120,2
547,Great location nice room,63,30
548,Rent the whole 4 bedroom remodeled single family,479,30
549,$20 PER GUEST - DTLA HOSTEL - GREAT AMENITIES,25,32
550,Relaxing Cozy Private Home Large Front Yard,148,2
551,The Artist's House,70,31
552,Modern 1 Bedroom 2 story  Loft Apt near Hollywood,139,30
553,Malibu Dream,648,1
554,Amazing location simple 2 bedrooms with parking,198,30
555,Malibu Mtns Luxury Safari Tent /Airstream 40 acres,441,2
556,Beautiful Private Guest Suite,174,4
557,Chic Hollywood Hills Home,174,30
558,A Room Close to CSULA University,45,30
559,Room located 6 miles from Downtown Los Angeles.,60,30
560,Cabin above the clouds,368,7
561,The Valley House,279,31
562,Prime location house w/pool 7 mins from Universal,636,3
563,Walking Distance to Beach w/View,399,30
564,Quiet Beach Property Close to Everything,140,30
565,Spanish style house with bedroom,60,1
566,Healthy Home in L.A./Burbank near Disney WB NYFA,80,31
567,NEW Quiet Corner Room Bright Free Parking WIFI,127,50
568,Cozy Private A/C bedroom in South Bay near LAX #3,89,2
569,Private Room in Remodeled Home,50,30
570,Valley Vista Boulevard test,339,30
571,Cozy Beverly Hills 1 Bedroom with Extra Bed in Den,150,31
572,luxury villa in west hollywood,1500,30
573,Cozy Modern 2BR | 2BA in North Alhambra,152,1
574,Cozy Gem near LAX/SOFI/Culver,300,3
575,Modern Estate In Beverly Hills,1759,3
576,Brand new condo in calabasas. Best location.,249,30
577,10 Mins from USC Beautiful room w/ bathroom #4,49,30
578,El Segundo La Bodega..private guest suite,105,3
579,1BR With backyard near airport universal studio,143,1
580,Comfy cozy studio cottage,108,2
581,Beautiful 2 Bedroom Home in Santa Monica,335,2
582,Cozy Clean QueenInquire Wkend Sofi ForumBMOEvents,45,30
583,Master Bedroom Monthly. Female,64,30
584,Loft-style 2-story penthouse suite,280,30
585,Modern Gorgeous treehouse Tree View Hill Home,338,3
586,Regal View of Echo Park,178,30
587,Simple 1 bedroom in an amazing location / Melrose,149,30
588,1 Bedroom House with Kitchen & Private Entrance,125,30
589,Bedroom 1 in large house.,115,4
590,Close to LAX (room 1),60,1
591,Canyon escape,800,7
592,Luxury Manhattan Beach border condo,90,1
593,Beverly Hills View Estate - 3 BED 3.5 BA Pool Home,638,30
594,Private Casita Near Universal Studios,114,30
595,Cozy vine-covered home with a big beautiful garden,361,2
596,2 LEVEL APARTMENT + 3 BEDS +FREE PARKING,131,1
